Nombre;Apellido;Sexo;Estado_Civil;Edad;Experiencia;Salario;Gerencia;Departamento
Lucia;;;Divorciado(a);40;10;3187;Sí;Comercial
Tomasa;;Femenino;Soltero(a);;21;4214;No;Producto
Pastora;;Femenino;Casado(a);51;8;2995;Sí;Reclutamiento
Amancio;;Masculino;Casado(a);46;9;3054;Sí;Recursos Humanos
Hailey;;Femenino;Casado(a);30;4;2532;;Producto
Pili;;Femenino;Casado(a);;30;5116;Sí;Publicidad
Otilia;;;Casado(a);;30;5166;No;Publicidad
Eva;;Femenino;Casado(a);44;12;3373;Sí;Comercial
Elisabet;;;Divorciado(a);40;6;2796;No;Finanzas
Lino;;Masculino;Casado(a);26;5;2662;No;Legal
Juan;;Masculino;Divorciado(a);37;3;2325;No;Servicios al cliente
Adela;;Femenino;Divorciado(a);21;3;2467;No;Contabilidad
Juanita;;Femenino;Soltero(a);;4;2522;;Legal
Maristela;;Femenino;Divorciado(a);;18;3901;;Ventas
Eugenio;;Masculino;Casado(a);45;18;3908;No;Ventas
Sofia;;;Soltero(a);;26;4716;No;Publicidad
Olga;;Femenino;Soltero(a);;11;3209;No;Producto
Daisy;;Femenino;Casado(a);61;8;2902;No;Ventas
James;;Masculino;Soltero(a);;13;3433;No;IT
Marta;;Femenino;Soltero(a);51;5;2651;No;Comercial
Elodia;;Femenino;Divorciado(a);21;3;2462;No;IT
;;;Divorciado(a);56;11;3224;;Servicios al cliente
Emilio;;Masculino;Divorciado(a);18;0;1872;No;IT
Patricio;;Masculino;Soltero(a);;3;2492;No;Producto
Kevin;;Masculino;Soltero(a);50;8;2985;Sí;Finanzas
Ana;;Femenino;Divorciado(a);;17;3847;No;Producto
Petrona;;Femenino;Soltero(a);;32;5358;No;Comercial
Daniel;;Masculino;Casado(a);;9;3059;No;Contabilidad
Tyler;;Masculino;Soltero(a);;29;5085;No;Finanzas
Belen;;Femenino;Soltero(a);29;4;2596;No;Contabilidad
Samanta;;;Casado(a);31;12;3393;No;Finanzas
Richard;;Masculino;Divorciado(a);34;7;2804;No;Servicios al cliente
Vilma;;Femenino;Casado(a);;2;2209;No;Legal
;;Femenino;Casado(a);;25;4626;;Ventas
Aaron;;Masculino;Soltero(a);45;9;3093;Sí;Publicidad
Douglas;;Masculino;Casado(a);40;6;2735;No;Legal
Sean;;Masculino;Soltero(a);36;2;2114;No;Ventas
Celia;;Femenino;Casado(a);32;11;3260;No;Comercial
Angela;;Femenino;Soltero(a);19;1;2100;No;IT
Griselda;;;Casado(a);19;1;1930;No;Legal
Olga;;Femenino;Divorciado(a);32;4;2573;No;Legal
Rafaela;;Femenino;Casado(a);44;11;3292;No;Finanzas
Corey;;Masculino;Casado(a);58;32;5360;No;Producto
Randall;;Masculino;Soltero(a);;11;3300;No;Servicios al cliente
Otilia;;Femenino;Divorciado(a);42;8;2990;No;Servicios al cliente
Yesica;;Femenino;Casado(a);;3;2320;No;Producto
Jason;;Masculino;Casado(a);24;1;2049;No;
Shaun;;Masculino;Casado(a);28;6;2796;No;Comercial
Tatiana;;Femenino;Divorciado(a);;19;;No;Publicidad
Eric;;Masculino;Divorciado(a);34;6;2745;No;Ventas
Marisol;;Femenino;Casado(a);;17;3839;No;Contabilidad
Daniel;;Masculino;Casado(a);18;0;1875;No;Publicidad
Brian;;Masculino;Casado(a);;30;5189;No;Comercial
Eva;;Femenino;Divorciado(a);;16;3797;No;Servicios al cliente
Katherine;;Femenino;Soltero(a);;24;4516;No;Servicios al cliente
James;;Masculino;Casado(a);46;20;4154;No;Recursos Humanos
Gala;;Femenino;Divorciado(a);40;1;1946;No;IT
Elena;;Femenino;Casado(a);24;2;2101;No;Legal
Luna;;Femenino;Soltero(a);35;6;2772;No;Recursos Humanos
Jennifer;;Femenino;Soltero(a);22;1;1930;No;Servicios al cliente
Rosenda;;Femenino;Casado(a);30;4;2596;No;IT
Eli;;Femenino;Soltero(a);;14;3507;No;IT
Odalis;;Femenino;Soltero(a);31;2;2262;No;Servicios al cliente
Felipe;;Masculino;Soltero(a);27;3;2456;No;Publicidad
Juan;;Masculino;Soltero(a);42;17;;No;Servicios al cliente
Piedad;;;Soltero(a);32;3;2316;No;Comercial
Jose;;Masculino;Casado(a);30;4;2513;No;Comercial
;;Femenino;Soltero(a);36;10;3169;;Publicidad
Ariel;;Masculino;Casado(a);27;2;2100;No;Legal
Luis;;Masculino;Divorciado(a);51;25;4681;No;Comercial
Isidoro;;Masculino;Divorciado(a);;24;4544;No;Legal
;;Femenino;Casado(a);38;5;2633;No;Finanzas
Lucho;;Masculino;Casado(a);22;4;2507;No;Ventas
Yesica;;Femenino;Divorciado(a);19;1;1935;No;Comercial
Victoriano;;Masculino;Casado(a);20;2;2110;No;Servicios al cliente
Onofre;;Masculino;Soltero(a);18;1;2067;No;IT
Duilio;;Masculino;Soltero(a);;8;2986;No;Finanzas
Michael;;;Soltero(a);35;13;3420;No;Legal
Carina;;Femenino;Casado(a);29;1;1904;No;Producto
Irene;;Femenino;Casado(a);;2;2169;No;Recursos Humanos
Judith;;Femenino;Divorciado(a);;16;3769;Sí;Ventas
Alicia;;Femenino;Casado(a);24;4;2507;No;Servicios al cliente
Maite;;Femenino;Casado(a);;35;5614;No;IT
Lupita;;Femenino;Casado(a);44;14;3532;No;Producto
Soraya;;Femenino;Soltero(a);38;4;2546;No;Legal
Eric;;Masculino;Casado(a);19;1;1964;No;Legal
Robert;;;Soltero(a);33;11;3267;No;Recursos Humanos
Kevin;;;Divorciado(a);;20;4166;No;Finanzas
Amaro;;Masculino;Casado(a);;24;4510;No;Comercial
Hernando;;Masculino;Divorciado(a);29;4;2510;No;IT
Vito;;Masculino;Divorciado(a);22;4;2530;No;Producto
Jose;;Masculino;Casado(a);30;6;2760;No;Servicios al cliente
Marcelo;;Masculino;Divorciado(a);44;15;3616;No;IT
Eric;;;Casado(a);25;7;2880;Sí;Recursos Humanos
Marc;;;Casado(a);24;2;2172;No;Producto
Leandro;;Masculino;Casado(a);37;11;3245;No;Finanzas
